URL,statusCode,Ttile,Status
https://www.google.com/setprefs?sig=0_DQsJHe3dGAXDZ49Y0qQTjkeo7yM%3D&hl=hi&source=homepage&sa=X&ved=0ahUKEwini53129mUAxXGUfUHHchKCjwQ2ZgBCDk,200,Google,PASSED
https://www.google.com/setprefs?sig=0_DQsJHe3dGAXDZ49Y0qQTjkeo7yM%3D&hl=hi&source=homepage&sa=X&ved=0ahUKEwini53129mUAxXGUfUHHchKCjwQ2ZgBCDk,200,Google,PASSED
https://accounts.google.com/ServiceLogin?hl=en&passive=true&continue=https://www.google.com/&ec=futura_exp_og_so_72776762_e,200,Sign in - Google Accounts,PASSED
https://accounts.google.com/ServiceLogin?hl=en&passive=true&continue=https://www.google.com/&ec=futura_exp_og_so_72776762_e,200,Sign in - Google Accounts,PASSED
https://www.google.com/advanced_search?hl=en-IN&fg=1,200,Google Advanced Search,PASSED
https://www.google.com/advanced_search?hl=en-IN&fg=1,200,Google Advanced Search,PASSED
https://mail.google.com/mail/&ogbl,200,"Gmail: Secure, AI-Powered Email for Everyone | Google Workspace",PASSED
https://mail.google.com/mail/&ogbl,200,"Gmail: Secure, AI-Powered Email for Everyone | Google Workspace",PASSED
https://www.google.com/setprefs?sig=0_DQsJHe3dGAXDZ49Y0qQTjkeo7yM%3D&hl=mr&source=homepage&sa=X&ved=0ahUKEwini53129mUAxXGUfUHHchKCjwQ2ZgBCDw,200,Google,PASSED
https://www.google.com/setprefs?sig=0_DQsJHe3dGAXDZ49Y0qQTjkeo7yM%3D&hl=mr&source=homepage&sa=X&ved=0ahUKEwini53129mUAxXGUfUHHchKCjwQ2ZgBCDw,200,Google,PASSED
https://www.google.com/preferences?hl=en-IN&fg=1,200,Search Settings,PASSED
https://www.google.com/preferences?hl=en-IN&fg=1,200,Search Settings,PASSED
https://www.google.com/imghp?hl=en&ogbl,200,Google Images,PASSED
https://www.google.com/imghp?hl=en&ogbl,200,Google Images,PASSED
https://www.google.com/intl/en_in/ads/?subid=ww-ww-et-g-awa-a-g_hpafoot1_1!o2&utm_source=google.com&utm_medium=referral&utm_campaign=google_hpafooter&fg=1,200,Google Ads - Reach Customers & Sell More with Online Advertising,PASSED
https://www.google.com/intl/en_in/ads/?subid=ww-ww-et-g-awa-a-g_hpafoot1_1!o2&utm_source=google.com&utm_medium=referral&utm_campaign=google_hpafooter&fg=1,200,Google Ads - Reach Customers & Sell More with Online Advertising,PASSED
https://policies.google.com/terms?hl=en-IN&fg=1,200,Google Terms of Service – Privacy & Terms – Google,PASSED
https://policies.google.com/terms?hl=en-IN&fg=1,200,Google Terms of Service – Privacy & Terms – Google,PASSED
https://www.google.com/services/?subid=ww-ww-et-g-awa-a-g_hpbfoot1_1!o2&utm_source=google.com&utm_medium=referral&utm_campaign=google_hpbfooter&fg=1,200,Get Listed on Google - Google Business Profile,PASSED
https://www.google.com/services/?subid=ww-ww-et-g-awa-a-g_hpbfoot1_1!o2&utm_source=google.com&utm_medium=referral&utm_campaign=google_hpbfooter&fg=1,200,Get Listed on Google - Google Business Profile,PASSED
https://www.google.com/history/privacyadvisor/search/unauth?utm_source=googlemenu&fg=1&cctld=com,200,Your data in Search,PASSED
https://www.google.com/history/privacyadvisor/search/unauth?utm_source=googlemenu&fg=1&cctld=com,200,Your data in Search,PASSED
https://www.google.com/#,200,Google,PASSED
https://www.google.com/#,200,Google,PASSED
https://www.google.com/webhp?hl=en&ictx=0&sa=X&ved=0ahUKEwini53129mUAxXGUfUHHchKCjwQPAgE,200,Google,PASSED
https://www.google.com/webhp?hl=en&ictx=0&sa=X&ved=0ahUKEwini53129mUAxXGUfUHHchKCjwQPAgE,200,Google,PASSED
